sba_borrower_name,sba_city,sba_zip,candidate_business_name,candidate_city,match_score,sba_loan_id,business_id
Quabbin Valley Dental,Athol,1331,QUABBIN VALLEY HEALTHCARE,"821 Daniel Shays Hwy, Athol, MA 01331, USA",78.26,8040ecee-a7b3-53b6-bac6-3d4745362b12,3f6472d1-cdbc-4c84-a022-e59c55389c45
Somerset Veterinary Clinic,PITTSFIELD,4967,PITTSFIELD VETERINARY CLINIC,"280 Dowboro Rd, Pittsfield, NH 03263, USA",74.07,b9a79aaf-6b76-5d9f-a2e9-99c082c05620,c54577c4-4ec7-4450-8ea3-1a25e249673d
Diesel Daves LTD,MIDDLETOWN,2842,DIESEL DAVE'S SERVICE,"1499 Green End Ave, Middletown, RI 02842, USA",70.27,6e2a82eb-1263-5715-b3a8-446f8d184b01,a8d8df38-e77d-4e76-917a-40d50ad4ef0a
WB Construction LLC,Waterbury,6704,"WALKER CONSTRUCTION, INC.","5950 Waterbury-Stowe Rd, Waterbury Center, VT 05677, USA",72.73,44320149-c2c8-579b-9375-bf5a3a5a94df,84f18e63-c58f-4f20-818c-69e483248f18
Falmouth Podiatry,FALMOUTH,2540,FALMOUTH HOSPITAL,"100 Ter Heun Dr, Falmouth, MA 02540, USA",70.59,56d02235-31ca-57e3-a5ba-a2d463f838bb,46f86b8e-b445-413f-a1fb-17975b37b8a4
Troy Brehaut & Family Trucking,WINN,4495,HERB BREHAUT & SONS TRUCKING INC,"66 US-2, Winn, ME 04495, USA",70.97,c04553a5-0344-5cec-a21a-a5383f930518,60ccdba9-44bb-43c7-8324-650edb0cafab
Full Throttle Repair,SWANZEY,3446,FULL THROTTLE POWERSPORTS,"2 SPROCKET LN, 189 W Swanzey Rd, Swanzey, NH 03446, USA",75.56,c6ec2b83-5f70-525c-a242-c015554cbe53,0a6a0af0-887b-4efb-bde5-c136e1d08ceb
TAMARACK LANDSCAPING INC,HUDSON,3051,DESIGN WORKS LANDSCAPING,"125 Wason Rd, Hudson, NH 03051, USA",70.83,00141144-b1e4-5510-9e66-63477b6b5e5c,5fc8a848-88c7-464d-998c-2a7dbaa6e589
Andover Pilates LLC,ANDOVER,1810,ANDOVER AUTO PARTS,"497 US-6, Andover, CT 06232, USA",70.27,80f7405d-6e11-59f5-8dcd-6b5940a7f868,98f86444-bc42-48b2-b8f6-f8ec64a29553
Andover Pilates LLC,Andover,1810,ANDOVER AUTO PARTS,"497 US-6, Andover, CT 06232, USA",70.27,e6063e05-ac9d-57e7-99da-6e8021b30944,98f86444-bc42-48b2-b8f6-f8ec64a29553
Thomas Buffington Associates Inc.,Plainfield,6374,THOMAS BUFFINGTON ASSOCIATES INC. AUTO REPAIR,"111 Commercial Dr, Plainfield, CT 06374, USA",84.62,54cf2225-343f-5ee5-9f97-b7cee00f6bd0,8d88a04a-b055-4b1e-bf14-1e4fedcc4368
SE Ortho Mansfield Inc,MANSFIELD,2048,MANSFIELD AUTO PARTS INC,"214 Stafford Rd, Mansfield Center, CT 06250, USA",73.91,c7ce71ad-ebc8-592c-9ff0-1e84e44fd008,21e2d976-409a-435e-b2e9-10412132d9d4
Emery Lee and Sons Incorporated,MILLINOCKET,4462,EMERY LEE & SONS INC.,"936 Central St, Millinocket, ME 04462, USA",73.08,66f841a4-8f8a-5957-bca1-4a83f3f770f7,9adc2633-b7ca-4b6b-8168-7352a02f2770
Dream Big Inc.,CRANSTON,2921,DREAM BIG GYMNASTICS,"41 Comstock Pkwy, Cranston, RI 02921, USA",70.59,cc54cd71-dfb9-591e-8238-1cb6f4bb38c8,30797cdd-833b-46af-b352-825e1b50f52f
AXIS CNC INC,WARE,1082,ABS FENCE INC,"2700 Cranberry Hwy, Wareham, MA 02571, USA",72.0,c04e5238-6d4f-570d-8851-8e6502358f80,0deabac8-ec02-4672-9c4f-e62675a3e019
New London Hospitality Holdings LLC,NEW LONDON,3257,NEW LONDON HOSPITAL,"273 County Rd, New London, NH 03257, USA",70.37,ec969d02-3e78-5e44-8d7d-5cdb98a460b0,209686a3-5bba-4e1e-b9b6-d3be4d460c1e
Petals and Paws LLC,Canton,6019,PETALS & PAWS,"465 Albany Turnpike, Canton, CT 06019, USA",75.0,0d8dc5c5-f751-5f98-9e91-9882195c5dc2,eca07ea5-31b2-4ccf-ad87-3d240d0f7d73
CARELOT CHILDREN'S CENTER INC,THOMPSON,6277,WESTVIEW CHILD CARE CENTER,"39 Thompson Pike, Dayville, CT 06241, USA",72.73,013371ca-fc57-5513-b64b-611c824b6dff,c19ca677-878c-4ae3-9ef4-04b4037a73d8
RAE Veterinary Services P.C.,WINTERPORT,4496,RIDGE RUNNER VETERINARY SERVICES,"559 S Main St, Winterport, ME 04496, USA",76.67,8ee63273-9adb-5c84-a220-3b66840f1602,a703c378-46c8-49ca-9082-7c3b1740f54f
RAPOSO'S CONSTRUCTION INC.,Taunton,2780,G LOPES CONSTRUCTION INC,"565 Winthrop St, Taunton, MA 02780, USA",76.0,dc8ebe4a-30c0-5449-a73e-e517182b5aa0,9ee2f4c8-c83e-4096-a607-8c8541d97e39
Wally's Landscaping Inc,HUDSON,1749,DESIGN WORKS LANDSCAPING,"125 Wason Rd, Hudson, NH 03051, USA",72.34,89957e65-619b-5d70-a8d5-1694396ee722,5fc8a848-88c7-464d-998c-2a7dbaa6e589
STAR TWO CONSTRUCTION INC.,Broad Brook,6016,KEMENT & SON CONSTRUCTION INC,"297 N Rd, Broad Brook, CT 06016, USA",72.73,55ed6a35-fb6d-515d-b2ba-61aac49191e7,b382659a-0e56-4b68-860e-a0a5ce226137
Baker Landscaping LLC,WINDSOR,6095,ZACH EDGE LANDSCAPING LLC,"28 Hilltop Cir, Windsor, NH 03244, USA",73.91,fa1c6279-c66a-5c9a-b5eb-bce1776a8729,eea06a4f-5930-4417-84c6-0af09b0c1d8c
W H Ferris Landscaping LLC,ANDOVER,1810,ANDOVER LANDSCAPING LLC,"5 Hendee Rd, Andover, CT 06232, USA",73.47,cd104e92-60e9-5834-bdeb-c8434a8ff341,590d90b5-83bf-4c33-b7cd-ea9a6fa54f6f
ARS CONSTRUCTION INC,RINDGE,3461,BOSS CONTRACTORS INC,"581 NH-119, Rindge, NH 03461, USA",70.0,27d2fea1-0c9b-5c7e-96e9-d95413784cb3,0230f937-2f46-4328-a90e-91f80ebbfced
Conlin Enterprises LLC,GREENLAND,3840,"REP ENTERPRISES, LLC","747 Portsmouth Ave, Greenland, NH 03840, USA",71.43,4c550546-e3ef-5f85-9a47-a0cdd646106e,7adbf78e-66d8-467b-ad55-915377f1a354
Metabolic Consulting LLC,Cambridge,2138,SPEX CONSULTING LLC,"82 Pease Rd, Cambridge, ME 04923, USA",74.42,544516cc-cd0c-53b5-a5f4-1d47743c1ddf,2ada50b4-824b-4f80-be3f-530bae680abd
Hank's Repair,CARMEL,4419,HANK'S REPAIR INC.,"32 Old State Rd, Carmel, ME 04419, USA",83.87,49fcb36a-885c-5d2d-a3ca-1a83088a61f8,5e86846a-634e-4647-8091-3d5c1168cdf2
MARC A ROY SR dba MIDDLEBORO MINI STORAGE,MIDDLEBORO,2346,MIDDLEBORO MINI STORAGE,"15 Spruce St, Middleborough, MA 02346, USA",71.88,78d8b848-fb16-5b51-9cc8-72078916070e,7cfb344f-dc1f-48ba-b51e-402e0d4a9f3f
Make A Difference Landscaping LLC,LEE,3861,THE DIFFERENCE LANDSCAPES,"459 Calef Hwy, Lee, NH 03861, USA",72.41,37a2642b-0c07-5dc4-9b93-6a685c4792e8,a8d6020b-408a-4e06-8226-85e795fc33d1
BRISTOL FAMILY DENTAL PC,BRISTOL,6010,BRISTOL FAMILY CENTER,"16 Orchard Terrace, Bristol, VT 05443, USA",80.0,5f0812fb-1547-549a-9162-ccd69bde829b,bdc1aa6a-b408-48c3-9f77-5927aaa4a74c
AP Consulting Inc,Cambridge,2139,PERCEY CONSULTING,"385 Chestnut Hill Rd, Cambridge, NY 12816, USA",70.59,2a86c343-0d05-52ff-b063-86b79d8b158c,9f1b85b9-10b7-45c3-ac94-1b48d82c5d14
Quabbin Valley Dental,Athol,1331,QUABBIN VALLEY HEALTHCARE,"821 Daniel Shays Hwy, Athol, MA 01331, USA",78.26,cbc08758-8664-53de-81e6-ac8a5c562580,3f6472d1-cdbc-4c84-a022-e59c55389c45
College Funding Services LLC,Salem,1970,FIDELITY BROKERAGE SERVICES LLC,"900 Salem St, Smithfield, RI 02917, USA",71.19,de088585-41f7-5b60-9484-11faf9af6fd7,ecb35596-72ce-4ebf-9573-b243c9f2ee72
Keeler Electric Inc,Brookfield,6804,KINVILLE ELECTRIC,"424 Wentworth Rd, Brookfield, NH 03872, USA",72.22,1ae364b4-ee55-5c20-bca6-e8b4c8fc3910,36af1b64-87fe-400c-98d2-8cffada974b8
WATERTOWN TAXI INC,WATERTOWN,2472,GMC OF WATERTOWN,"715 Straits Turnpike, Watertown, CT 06795, USA",70.59,ebf247b2-1c8c-57ee-a8f5-c86592de5c76,27c1ff62-8672-47d4-a7c6-0b3252dd39a7
Marco Construction Corporation,WARWICK,2886,MJRO CONSTRUCTION INC,"64 4E Rang O, Warwick, QC J0A 1M0, Canada",74.51,a5bfac1a-e836-50c9-9747-961c48238733,2dd06cc2-053b-4c0e-83b3-1e77f297a782
